product_id,product_name,ingredient,amount,unit,url
22041,SmartDigest® Ultra Pellets,DVEquine™ Postbiotic (Saccharomyces cerevisiae),"7,000",mg,https://www.smartpakequine.com/ps/smartdigest-ultra-pellets--12041
22041,SmartDigest® Ultra Pellets,Fructooligosaccharides (FOS),"1,250",mg,https://www.smartpakequine.com/ps/smartdigest-ultra-pellets--12041
22041,SmartDigest® Ultra Pellets,Mannanoligosaccharides (MOS),"1,050",mg,https://www.smartpakequine.com/ps/smartdigest-ultra-pellets--12041
22041,SmartDigest® Ultra Pellets,L-Glutamine,"1,000",mg,https://www.smartpakequine.com/ps/smartdigest-ultra-pellets--12041
22041,SmartDigest® Ultra Pellets,Kaolin,"1,000",mg,https://www.smartpakequine.com/ps/smartdigest-ultra-pellets--12041
22041,SmartDigest® Ultra Pellets,Arabinogalactan,700,mg,https://www.smartpakequine.com/ps/smartdigest-ultra-pellets--12041
22041,SmartDigest® Ultra Pellets,Deglycyrrized Licorice* (Glycyrrhiza glabra),500,mg,https://www.smartpakequine.com/ps/smartdigest-ultra-pellets--12041
22041,SmartDigest® Ultra Pellets,Psyllium Husk (Plantago ovata),450,mg,https://www.smartpakequine.com/ps/smartdigest-ultra-pellets--12041
22041,SmartDigest® Ultra Pellets,Fenugreek (Trigonella foenum-graecum),400,mg,https://www.smartpakequine.com/ps/smartdigest-ultra-pellets--12041
22041,SmartDigest® Ultra Pellets,Oat Beta Glucan,150,mg,https://www.smartpakequine.com/ps/smartdigest-ultra-pellets--12041
22041,SmartDigest® Ultra Pellets,Apple Fiber,140,mg,https://www.smartpakequine.com/ps/smartdigest-ultra-pellets--12041
22041,SmartDigest® Ultra Pellets,Citrus Pectin,50,mg,https://www.smartpakequine.com/ps/smartdigest-ultra-pellets--12041
22041,SmartDigest® Ultra Pellets,Lactobacillus acidophilus,22.5,billion CFU,https://www.smartpakequine.com/ps/smartdigest-ultra-pellets--12041
22041,SmartDigest® Ultra Pellets,Enterococcus faecium,1.5,billion CFU,https://www.smartpakequine.com/ps/smartdigest-ultra-pellets--12041
22041,SmartDigest® Ultra Pellets,Lactobacillus casei,1,billion CFU,https://www.smartpakequine.com/ps/smartdigest-ultra-pellets--12041
22041,SmartDigest® Ultra Pellets,Lactococcus lactis,1,billion CFU,https://www.smartpakequine.com/ps/smartdigest-ultra-pellets--12041
22041,SmartDigest® Ultra Pellets,Bifidobacterium longum,450,million CFU,https://www.smartpakequine.com/ps/smartdigest-ultra-pellets--12041
22041,SmartDigest® Ultra Pellets,"Enzase-EQ™ (a proprietary blend of Aspergillus oryzae, Aspergillus niger, Bacillus subtilus and Pancrelipase, supplying Amylase, Protease, Lipase, Cellulase and Lactase enzymes)","1,300",mg,https://www.smartpakequine.com/ps/smartdigest-ultra-pellets--12041
